評価領域,評価項目,配点,レベル1（60点未満）,レベル2（60-70点）,レベル3（70-85点）,レベル4（85点以上）
ER図読解能力,エンティティとアトリビュートの識別,10,基本的なエンティティを識別できない,基本的なエンティティは識別できる,ほぼ全てのエンティティを正確に識別できる,完璧にエンティティを識別し関係も説明できる
ER図読解能力,カーディナリティの理解,10,1対1、1対多の区別ができない,単純なカーディナリティは理解している,複雑なカーディナリティも理解している,あらゆるカーディナリティを完璧に理解している
ER図読解能力,複雑な関係の解読,15,複雑な関係を理解できない,一部の複雑な関係は理解できる,複雑な関係の大部分を理解できる,最も複雑な関係も完全に理解し説明できる
正規化理解,第1〜第3正規形の理解,10,正規化の概念を理解していない,第1、第2正規形は理解している,第3正規形まで完全に理解している,正規化理論を完璧に理解し指導できる
正規化理解,関数従属性の分析,10,主キー、外部キーの概念が曖昧,基本的な関数従属性は分析できる,複雑な関数従属性も分析できる,高度な関数従属性分析もできる
正規化理解,正規化の実践的適用,15,非正規化の問題を特定できない,明らかな冗長性は特定できる,正規化を実践的に適用できる,正規化を戦略的に適用できる
関係設計能力,1対多、多対多関係の設計,15,基本的な関係設計ができない,基本的な関係設計はできる,複雑な関係設計もできる,最適な関係設計を提案できる
関係設計能力,自己参照関係の設計,10,自己参照の必要性を理解していない,自己参照の基本は理解している,自己参照を適切に設計できる,自己参照を創造的に活用できる
関係設計能力,オプショナル関係の活用,10,必須・オプショナルの区別ができない,必須関係の設計はできる,オプショナル関係も適切に設計できる,オプショナル関係を戦略的に活用できる
パフォーマンス考慮,インデックス設計の基本,10,インデックスの必要性を理解していない,基本的なインデックスは設計できる,用途に応じたインデックス設計ができる,最適なインデックス戦略を立案できる
パフォーマンス考慮,クエリ最適化の理解,10,性能に関する考慮ができない,単純なクエリ最適化は理解している,実用的なクエリ最適化ができる,高度な最適化手法を適用できる
パフォーマンス考慮,大量データ対応設計,15,スケーラビリティを考慮できない,基本的なデータ量対応は考慮できる,実用的なデータ量対応ができる,エンタープライズレベルの設計ができる
実務応用力,業務要件の分析と設計への反映,15,要件を設計に反映できない,単純な要件は設計に反映できる,複雑な要件も適切に設計に反映できる,業務改革レベルの提案ができる
実務応用力,既存システムの改善提案,20,現状の問題を特定できない,表面的な問題は特定できる,構造的な問題を特定し改善提案できる,システム全体の最適化を提案できる
実務応用力,システム拡張性の考慮,15,将来の拡張を考慮できない,基本的な拡張性は考慮できる,実用的な拡張性を考慮できる,長期的な技術戦略を立案できる
